Name,URL,DR,Traffic,Pricing,Category,Dofollow,Account,Submission
AI To Grow,https://aitogrow.com,17,12,free,AI Tools,Dofollow,Optional,https://aitogrow.com/#send-your-tool
AI Top Hub,https://aitophub.com,16,11,free,AI Tools,Nofollow,Optional,
SaaS Surf,https://saassurf.com,16,17,paid,Anything,Dofollow,Optional,https://saassurf.com/submit-a-product
Openpedia,https://openpedia.io,16,18,paid,AI Tools,Dofollow,Optional,https://openpedia.io/submit-ai-tool/
The AI Library,https://www.theailibrary.co,15,240,free,AI Tools,Dofollow,Required,https://www.theailibrary.co/account/tools/new
Websurl,https://www.websurl.com,15,1.2K,mixed,Anything,Dofollow,Optional,https://www.websurl.com/submit
AppRater,https://apprater.net,15,5,free,Anything,Dofollow,Optional,https://apprater.net/add/
Tool AI Online,https://www.tools-ai.online,15,34,free,AI Tools,Dofollow,Optional,https://www.tools-ai.online/submit-tool
Hack The Prompt,https://hacktheprompt.com,15,0,free,AI Tools,Dofollow,Optional,https://hacktheprompt.com/submit-new-ai-tools/
AI Tools Arena,https://aitoolsarena.com,15,5.4K,free,AI Tools,Dofollow,Optional,
Saassy Board,https://saassy-board.com,15,0,paid,Anything,Dofollow,Required,
Startup AI Tools,https://www.startupaitools.com,14,1.1K,free,AI Tools,Dofollow,Optional,https://www.startupaitools.com/submit-ai-tools/
Tool Battles,https://toolbattles.com,14,0,free,Anything,Dofollow,Required,https://toolbattles.com/submit-product/
AI Hunter,https://ai-hunter.io,14,2.1K,mixed,AI Tools,Dofollow,Optional,https://ai-hunter.io/submit-a-tool/
AI Naive,https://www.ainave.com,14,0,free,AI Tools,Dofollow,Required,https://www.ainave.com/submit/tools
Website Hunt,https://www.websitehunt.co,14,381,free,Anything,Nofollow,Required,https://www.websitehunt.co/websites/submit/create
Future AI Lab,https://www.futureailab.com,13,258,free,AI Tools,Nofollow,Optional,https://airtable.com/appknLRpG1pFeda0z/pagk1WCCAT99dJu8C/form
DevTool.io,https://devtool.io,12,0,free,Dev Tools,Nofollow,Optional,https://devtool.io/submit-tool
GPT Academy,https://www.gptacademy.co,12,0,paid,AI Tools,Dofollow,Optional,
AI Gems,https://aigems.net,12,18,free,AI Tools,Dofollow,Required,https://aigems.net/submit
Canopy Directory,https://www.canopydirectory.com,12,2,free,AI Tools,Dofollow,Optional,
GetByte,https://www.getbyte.tech,12,0,mixed,Anything,Nofollow,Required,https://www.getbyte.tech/listing/basic-product-details
Directories.so,https://directories.so,12,0,free,Directories,Dofollow,Optional,https://tally.so/r/3qby88
The AI Warehouse,https://www.thewarehouse.ai,12,275,free,AI Tools,Dofollow,Required,https://inside.thewarehouse.ai/submissions
PayOnceApps.com,https://payonceapps.com,12,15,free,Anything,Dofollow,Optional,https://payonceapps.com/add-your-app/
Uneedbest,https://uneedbest.com,11,13,paid,AI Tools,Dofollow,Optional,https://uneedbest.com/your-best-tool
Hackerspad,https://hackerspad.net,11,2,free,Anything,Nofollow,Required,https://hackerspad.net/projects/new
Next Radar,https://nextradar.dev,11,15,free,Boilerplates,Nofollow,Optional,https://ali-hussein.notion.site/223bbaf0004f80419927d705238d3182
AI Toolhouse,https://www.aitoolhouse.com,11,74,paid,AI Tools,Dofollow,Optional,https://aitoolhouse.gumroad.com/l/submit-tool
1 Payment Tools,https://1payment.tools,11,0,paid,Anything,Nofollow,Required,https://1payment.tools/register
Can Devs Do Something,https://candevsdosomething.com,11,7,free,Anything,Dofollow,Required,https://candevsdosomething.com/ships/new
All Boilerplates,https://allboilerplates.com,10,4,free,Boilerplates,Dofollow,Required,https://allboilerplates.com/users/submit
AI Hustle,https://aihustle.tools,10,121,free,AI Tools,Dofollow,Optional,https://aihustle.tools/submit/
Rise of Machine,https://riseofmachine.com,10,0,free,AI Tools,Dofollow,Optional,https://github.com/NewDesignFile/template-directory/pulls
Trending AI Tools,https://www.trendingaitools.com,10,232,paid,AI Tools,Dofollow,Optional,https://www.trendingaitools.com/sumbit-a-tool/
Orbic AI,https://orbic.ai,10,0,free,AI Tools,Dofollow,Required,https://orbic.ai/submit/tools
yesRamen,https://yesramen.com,10,0,free,Anything,Dofollow,Required,https://yesramen.com/new-feedback-quest
Free AI Tools Directory,https://free-ai-tools-directory.com,10,0,free,AI Tools,Dofollow,Optional,https://free-ai-tools-directory.com/submit-request/
Drop Your AI,https://www.dropyourai.com,10,807,paid,AI Tools,Dofollow,Optional,https://www.dropyourai.com/submit-tool
AI Directory.org,https://www.aidirectory.org,10,59,free,AI Tools,Dofollow,Optional,https://www.aidirectory.org/user-submit/
b2saas,https://b2saas.com,9,193,free,Anything,Nofollow,Required,
Easy Save AI,https://easysaveai.com,9,11,paid,AI Tools,Dofollow,Optional,https://easysaveai.com/pages/submit-your-tool/
BoilerplateList,https://boilerplatelist.com,9,139,free,Boilerplates,Nofollow,Optional,https://boilerplatelist.com/submit
SaaS Curate,https://www.saascurate.com/tools,9,0,paid,Anything,Dofollow,Optional,https://www.saascurate.com/promote
Critiqs,https://critiqs.ai,9,0,paid,AI Tools,Dofollow,Required,https://critiqs.ai/my/submit-new/
Human or not,https://www.humanornot.co,9,945,free,AI Tools,Dofollow,Optional,https://www.humanornot.co/submit-tool
Mad Genius,https://madgenius.co,9,1,paid,AI Tools,Dofollow,Optional,https://madgenius.co/submit
Marketer Tools,https://www.marketertools.co,9,2,free,Anything,Dofollow,Optional,https://www.marketertools.co/add-listing
BestFreeTools.io,https://www.bestfreetools.io,9,20,free,Anything,Dofollow,Optional,https://airtable.com/appPZHdMyA3rfNtAt/pagZVbgCQX1yRwEfO/form
NextPedia,https://nextpedia.io,9,0,free,AI Tools,Nofollow,Optional,https://www.nextpedia.io/submit-tool
GrowthBoosters,https://www.growthboosters.com,8,25,free,Anything,Dofollow,Required,https://www.growthboosters.com/product/add
Nextgen Tools,https://nextgentools.me,8,3,free,AI Tools,Nofollow,Optional,https://nextgentools.me/submit-your-tool
Uneed Directories,https://uneed-directories.com,8,0,paid,Directories,Dofollow,Required,https://uneed-directories.com/add-your-directory
Boilerplates 4 SaaS,https://boilerplates4saas.com,8,0,free,Boilerplates,Dofollow,Optional,https://boilerplates4saas.com/contact/
AI Agents Base,https://aiagentsbase.com,7,2,free,AI Tools,Dofollow,Optional,https://aiagentsbase.com/submit
TechMap,https://techmap.me,7,0,free,Anything,Dofollow,Required,https://techmap.me/company/create
CyberSecTools,https://cybersectools.com,7,1.2K,free,Anything,Dofollow,Optional,https://cybersectools.com/submit
Sections.wtf,https://sections.wtf,7,0,free,Anything,Dofollow,Optional,
SaaS Radius,https://www.saasradius.com,6,0,free,Anything,Nofollow,Optional,https://www.saasradius.com/add-listing
BroUseAI,https://www.brouseai.com,6,7.3K,free,AI Tools,Dofollow,Optional,https://www.brouseai.com/submission/ai
Find Cool Tools,https://findcool.tools,6,0,paid,Anything,Dofollow,Required,https://findcool.tools/submit-tool
Waild World,https://waildworld.com,6,1.3K,free,AI Tools,Dofollow,Optional,
The Hack Stack,https://thehackstack.com,6,2,free,Anything,Dofollow,Required,https://thehackstack.com/add-product
AI Marketing Directory,https://www.aimarketing.directory,6,1,paid,AI Tools,Dofollow,Optional,https://www.aimarketing.directory/submit
